Year,School Code,School Name,School Type,School Street,School City,School State,School Zip,School County,School District Name,District Code,Grades,Reported?,K-12 Enrolled,K-12 Exempt,K-12 % Exempt,K-12 Medical Exemption,K-12 % Medical Exemption,K-12 Personal Exemption,K-12 % Personal Exemption,K-12 Religious Exemption,K-12 % Religious Exemption,K-12 Exempt for DT/Td,K-12 Exempt for Pertussis,K-12 exempt for Polio,K-12 exempt for Measles,K-12 Exempt for Mumps,K-12 Exempt for Rubella,K-12 Exempt for Hep B,K-12 Exempt for Varicella
2011,8216,Bellingham Christian School,Private School,1600 E Sunset Dr,Bellingham,WA,98226,WHATCOM,Bellingham School District,37501,K-8,Yes,181,37,20.4%,0,0.0%,37,20.4%,0,0.0%,16,16,15,13,13,13,21,31
2011,2553,Bellingham High School,Public School,2020 Cornwall Ave,Bellingham,WA,98225,WHATCOM,Bellingham School District,37501,9-12,Yes,1103,176,16.0%,4,0.4%,168,15.2%,4,0.4%,81,81,85,53,53,53,108,22
2011,1460,Bel-Red Bilingual Academy,Private School,15061 Bel-Red Rd,Bellevue,WA,98007,KING,Bellevue School District,17405,K-3,No,,,,,,,,,,,,,,,,,
2011,2155,Bemiss ,Public School,2323 E Bridgeport Ave,Spokane,WA,99207,SPOKANE,Spokane School District,32081,K-6,Yes,513,13,2.5%,0,0.0%,13,2.5%,0,0.0%,7,7,6,2,2,2,9,3
2011,3142,Benge Elementary,Public School,2978 E. Benge-Winona Rd.,Benge,WA,99105,ADAMS,Benge School District,1122,K-6,Yes,9,1,11.1%,0,0.0%,1,11.1%,0,0.0%,1,1,1,1,1,1,1,1
2011,3080,Benjamin Franklin Elementary,Public School,5206 FRANKLIN ST,VANCOUVER,WA,98663,CLARK,Vancouver School District,6037,K-5,Yes,276,14,5.1%,1,0.4%,13,4.7%,0,0.0%,7,7,5,7,7,7,5,8
2011,3705,Bennett Elementary School,Public School,17900 NE 16th Street,Bellevue,WA,98008,KING,Bellevue School District,17405,K-5,Yes,420,44,10.5%,12,2.9%,30,7.1%,2,0.5%,25,25,23,2,2,2,24,0
2011,3587,Benson Hill Elementary School,Public School,18665 116TH AVE SE,RENTON,WA,98058,KING,Renton School District,17403,K-5,Yes,568,36,6.3%,3,0.5%,33,5.8%,0,0.0%,24,24,23,25,25,25,17,24
2011,5235,Benton County Jail,Institution,7122 W Okanogan Place,Kennewick,WA,99337,BENTON,Kennewick School District,3017,9-12,No,,,,,,,,,,,,,,,,,
2011,2074,Berney Elementary School,Public School,1718 PLEASANT ST,WALLA WALLA,WA,99362,WALLA WALLA,Walla Walla Public Schools,36140,K-5,Yes,453,13,2.9%,0,0.0%,11,2.4%,2,0.4%,9,9,11,12,12,12,11,8
2011,8432,Bertschi School,Private School,2227 10th Ave E,Seattle,WA,98102,KING,Seattle Public Schools,17001,K-5,No,,,,,,,,,,,,,,,,,
2011,2770,Bess Herian Elementary,Public School,305 MONUMENTAL WAY,CUSICK,WA,99119,PEND OREILLE,Cusick School District,26059,K-6,No,,,,,,,,,,,,,,,,,
2011,1931,Best Night School,Public School,10903 NE 53rd ST,Kirkland,WA,98033,KING,Lake Washington School District,17414,9-12,No,,,,,,,,,,,,,,,,,
2011,3855,Best Sr High,Public School,10903 NE 53rd ST,Kirkland,WA,98033,KING,Lake Washington School District,17414,9-12,Yes,89,7,7.9%,2,2.2%,4,4.5%,1,1.1%,1,4,0,5,5,5,5,0
2011,8373,Bethany Lutheran Elementary,Private School,151 Tremont St W,Port Orchard,WA,98366,KITSAP,South Kitsap School District,18402,K-8,No,,,,,,,,,,,,,,,,,
2011,5216,Bethel Elementary Learning Academy,Public School,516 176th St E,Spanaway,WA,98387,PIERCE,Bethel School District,27403,K-6,Yes,38,3,7.9%,0,0.0%,2,5.3%,1,2.6%,1,1,1,2,2,2,1,2
2011,2807,Bethel High School,Public School,22215 38th Ave E,Spanaway,WA,98387,PIERCE,Bethel School District,27403,10-12,Yes,1144,43,3.8%,3,0.3%,38,3.3%,2,0.2%,12,22,9,19,19,19,31,0
2011,3250,Bethel Junior High,Public School,22201 38th Avenue East,Spanaway,WA,98387,PIERCE,Bethel School District,27403,7-9,No,,,,,,,,,,,,,,,,,
2011,5174,Bethel Online Academy,Public School,18020 B St E,Spanaway,WA,98387,PIERCE,Bethel School District,27403,7-12,Yes,199,12,6.0%,0,0.0%,10,5.0%,2,1.0%,4,9,4,7,7,7,9,0
2011,8001,Bethlehem Lutheran School,Private School,1409 S Garfield St,Kennewick,WA,99337,BENTON,Kennewick School District,3017,K-8,Yes,162,1,0.6%,0,0.0%,1,0.6%,0,0.0%,1,1,1,1,1,1,1,1
2011,2954,Betz Elementary,Public School,317 N 7TH,CHENEY,WA,99004,SPOKANE,Cheney School District,32360,K-5,Yes,457,61,13.3%,7,1.5%,52,11.4%,2,0.4%,25,37,36,37,37,37,36,44
2011,3302,Beverly Elementary,Public School,5221 168th St SW,Lynnwood,WA,98037,SNOHOMISH,Edmonds School District,31015,K-6,Yes,502,31,6.2%,4,0.8%,27,5.4%,0,0.0%,13,13,10,14,14,14,16,14
2011,2765,Beverly Park Elem at Glendale,Public School,1201 S 104th St,Seattle,WA,98168,KING,Highline School District,17401,K-6,Yes,477,7,1.5%,1,0.2%,5,1.0%,1,0.2%,5,5,4,5,5,5,4,5
2011,3392,Bickleton Elementary & High Schl,Public School,100 MARKET ST.,BICKLETON,WA,99322,KLICKITAT,Bickleton School District,20203,K-12,No,,,,,,,,,,,,,,,,,
2011,2521,Big Lake Elementary School,Public School,16802 Lake View Blvd.,Mount Vernon,WA,98274,SKAGIT,Sedro-Woolley School District,29101,K-6,Yes,294,24,8.2%,0,0.0%,24,8.2%,0,0.0%,16,15,14,14,14,14,13,17
2011,5028,Big Picture School,Public School,2450 So. 142nd St,SeaTac,WA,98168,KING,Highline School District,17401,9-12,Yes,122,13,10.7%,2,1.6%,11,9.0%,0,0.0%,5,5,8,10,10,10,10,8
2011,8530,Billings Middle School,Private School,7217 Woodlawn Ave NE,Seattle,WA,98115,KING,Seattle Public Schools,17001,6-8,Yes,88,10,11.4%,1,1.1%,8,9.1%,1,1.1%,6,6,7,10,10,10,9,0
2011,5210,Bio Med Academy,Public School,8301 84th Street NE,Marysville,WA,98270,SNOHOMISH,Marysville School District,31025,9-12,Yes,384,17,4.4%,0,0.0%,17,4.4%,0,0.0%,8,4,3,7,7,7,13,0
2011,2431,Birchwood Elementary School,Public School,3200 Pinewood Ave,Bellingham,WA,98225,WHATCOM,Bellingham School District,37501,K-5,No,0,0,,0,,0,,0,,0,0,0,0,0,0,0,0
2011,3449,Birney,Public School,1202 S 76th St,Tacoma,WA,98408,PIERCE,Tacoma School District,27010,K-5,Yes,387,3,0.8%,0,0.0%,3,0.8%,0,0.0%,3,3,2,2,2,2,0,2
2011,5048,Birth to 3 Contracts,Public School,P.O. Box 34165,Seattle,WA,98124,KING,Seattle Public Schools,17001,K-PK,No,,,,,,,,,,,,,,,,,
2011,5150,Birth to Age 2,Public School,"12033 SE 256TH St, Suite A-400",Kent,WA,98030,KING,Kent School District,17415,K-PK,No,,,,,,,,,,,,,,,,,
2011,5126,Birth To Three,Public School,520 4th Street,Cheney,WA,99004,SPOKANE,Cheney School District,32360,K-PK,No,,,,,,,,,,,,,,,,,
2011,1952,Birth to Three Development Center,Public School,35535 6th PL SW,Federal Way,WA,98023,KING,Federal Way School District,17210,K-PK,No,,,,,,,,,,,,,,,,,
2011,8029,Bishop Blanchet High School,Private School,8200 Wallingford Ave N,Seattle,WA,98103,KING,Seattle Public Schools,17001,9-12,No,,,,,,,,,,,,,,,,,
2011,800A,BK Play Academy for Gifted Children,Private School,6236 122nd Ave SE,Bellevue,WA,98006,KING,Bellevue School District,17405,K-3,No,,,,,,,,,,,,,,,,,
2011,3430,Black Diamond Elementary,Public School,25314 Baker Street,Black Diamond,WA,98010,KING,Enumclaw School District,17216,K-5,Yes,282,23,8.2%,4,1.4%,19,6.7%,0,0.0%,5,6,6,8,8,8,8,13
2011,4205,Black Lake Elementary,Public School,6345 Belmore-Black Lake Road,Olympia,WA,98512,THURSTON,Tumwater School District,34033,K-6,Yes,455,42,9.2%,0,0.0%,42,9.2%,0,0.0%,21,22,21,21,21,21,21,20
2011,4532,Blackwell Elementary,Public School,3225 - 205th PL NE,Sammamish,WA,98074,KING,Lake Washington School District,17414,K-6,Yes,471,23,4.9%,4,0.8%,16,3.4%,3,0.6%,12,13,9,12,12,12,9,4
2011,2713,Blaine Elementary School,Public School,836 MITCHELL AVE,BLAINE,WA,98230,WHATCOM,Blaine School District,37503,3-5,Yes,475,37,7.8%,4,0.8%,33,6.9%,0,0.0%,23,24,19,27,26,26,23,11
2011,3136,Blaine High School,Public School,1055 H STREET,BLAINE,WA,98230,WHATCOM,Blaine School District,37503,9-12,Yes,638,39,6.1%,3,0.5%,36,5.6%,0,0.0%,12,23,22,25,26,26,25,0
2011,5021,Blaine Home Connections,Public School,580 C Street,Blaine,WA,98230,WHATCOM,Blaine School District,37503,K-11,Yes,76,37,48.7%,1,1.3%,36,47.4%,0,0.0%,29,31,17,16,16,16,18,6
2011,3796,Blaine Middle School,Public School,975 H STREET,BLAINE,WA,98230,WHATCOM,Blaine School District,37503,6-8,Yes,523,34,6.5%,1,0.2%,30,5.7%,3,0.6%,29,30,23,23,24,24,24,0
2011,4476,Blaine Primary School,Public School,820 BOBLETT ST,BLAINE,WA,98230,WHATCOM,Blaine School District,37503,K-2,Yes,434,34,7.8%,6,1.4%,26,6.0%,2,0.5%,21,21,22,26,25,24,17,31
2011,2094,Blix Elementary,Public School,1302 E 38th St,Tacoma,WA,98404,PIERCE,Tacoma School District,27010,K-5,Yes,470,10,2.1%,1,0.2%,8,1.7%,1,0.2%,10,10,10,10,10,10,10,10
2011,801U,Blossoming Hill Montessori,Private School,23855 SE 216th St240),Maple Valley,WA,98038,KING,Tahoma School District,17409,P-6,No,,,,,,,,,,,,,,,,,
2011,4475,Blue Heron Middle School,Public School,3939 San Juan Ave,Port Townsend,WA,98368,JEFFERSON,Port Townsend School District,16050,1-8,No,,,,,,,,,,,,,,,,,
2011,4193,Blue Ridge Elementary,Public School,1150 W CHESTNUT ST,WALLA WALLA,WA,99362,WALLA WALLA,Walla Walla Public Schools,36140,K-5,Yes,325,7,2.2%,0,0.0%,5,1.5%,2,0.6%,4,5,4,5,5,5,4,4
2011,2516,Boistfort Elem,Public School,983 Boistfort Road,Curtis,WA,98538,LEWIS,Boistfort School District,21234,K-8,Yes,84,7,8.3%,0,0.0%,7,8.3%,0,0.0%,6,6,3,3,3,3,3,1
2011,3349,Bonney Lake Elementary,Public School,18715 80th St E,Bonney Lake,WA,98390,PIERCE,Sumner School District,27320,K-5,Yes,436,42,9.6%,0,0.0%,41,9.4%,1,0.2%,25,25,23,2,2,2,24,24
2011,4585,Bonney Lake High School,Public School,10920 199th Ave Ct E,Bonney Lake,WA,98391,PIERCE,Sumner School District,27320,9-12,Yes,1420,68,4.8%,5,0.4%,62,4.4%,1,0.1%,16,38,26,40,40,40,38,0
2011,3291,Bordeaux Elementary School,Public School,350 E. University Ave.,Shelton,WA,98584,MASON,Shelton School District,23309,K-5,Yes,504,19,3.8%,1,0.2%,16,3.2%,2,0.4%,8,10,11,11,11,11,7,17
2011,2487,Boston Harbor Elementary,Public School,7300 ZANGLE RD NE,OLYMPIA,WA,98506,THURSTON,Olympia School District,34111,K-5,Yes,174,19,10.9%,0,0.0%,19,10.9%,0,0.0%,13,12,15,15,15,15,10,8
2011,3106,Bothell High School,Public School,9130 NE 180 ST,Bothell,WA,98011,KING,Northshore School District,17417,10-12,Yes,1601,51,3.2%,6,0.4%,44,2.7%,1,0.1%,33,33,37,34,34,34,34,19
2011,2982,Bow Lake Elementary,Public School,18237 42nd Ave S,SeaTac,WA,98188,KING,Highline School District,17401,K-6,Yes,669,10,1.5%,2,0.3%,6,0.9%,2,0.3%,6,6,5,6,6,6,6,9
